,code,label,length,level,parent_field_code,parent_group_code
0,01,MATHEMATICAL SCIENCES,2,1,01,
1,02,PHYSICAL SCIENCES,2,1,02,
2,03,CHEMICAL SCIENCES,2,1,03,
3,04,EARTH SCIENCES,2,1,04,
4,05,ENVIRONMENTAL SCIENCES,2,1,05,
5,06,BIOLOGICAL SCIENCES,2,1,06,
6,07,AGRICULTURAL AND VETERINARY SCIENCES,2,1,07,
7,08,INFORMATION AND COMPUTING SCIENCES,2,1,08,
8,09,ENGINEERING,2,1,09,
9,10,TECHNOLOGY,2,1,10,
10,11,MEDICAL AND HEALTH SCIENCES,2,1,11,
11,12,BUILT ENVIRONMENT AND DESIGN,2,1,12,
12,13,EDUCATION,2,1,13,
13,14,ECONOMICS,2,1,14,
14,15,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2,1,15,
15,16,STUDIES IN HUMAN SOCIETY,2,1,16,
16,17,PSYCHOLOGY AND COGNITIVE SCIENCES,2,1,17,
17,18,LAW AND LEGAL STUDIES,2,1,18,
18,19,STUDIES IN CREATIVE ARTS AND WRITING,2,1,19,
19,20,"LANGUAGE, COMMUNICATION AND CULTURE",2,1,20,
20,21,HISTORY AND ARCHAEOLOGY,2,1,21,
21,22,PHILOSOPHY AND RELIGIOUS STUDIES,2,1,22,
22,0101,PURE MATHEMATICS,4,2,01,0101
23,0102,APPLIED MATHEMATICS,4,2,01,0102
24,0103,NUMERICAL AND COMPUTATIONAL MATHEMATICS,4,2,01,0103
25,0104,STATISTICS,4,2,01,0104
26,0105,MATHEMATICAL PHYSICS,4,2,01,0105
27,0199,OTHER MATHEMATICAL SCIENCES,4,2,01,0199
28,0201,ASTRONOMICAL AND SPACE SCIENCES,4,2,02,0201
29,0202,"ATOMIC, MOLECULAR, NUCLEAR, PARTICLE AND PLASMA PHYSICS",4,2,02,0202
30,0203,CLASSICAL PHYSICS,4,2,02,0203
31,0204,CONDENSED MATTER PHYSICS,4,2,02,0204
32,0205,OPTICAL PHYSICS,4,2,02,0205
33,0206,QUANTUM PHYSICS,4,2,02,0206
34,0299,OTHER PHYSICAL SCIENCES,4,2,02,0299
